instance,route_index,route_source,seed,source_node,source_cost,source_gain,removal_saving,slack,late,waiting,is_oracle_source,actionable
rc_201.1,1,reference,0,15,444.5425,0,11.1644,119.8197,0,0,1,0
rc_201.1,1,reference,0,19,444.5425,0,13.2472,120,0,74.6002,0,0
rc_201.1,1,reference,0,14,444.5425,0,12.3252,13.9168,0,0,0,0
rc_201.1,1,reference,0,10,444.5425,0,10.4254,24.3013,0,0,0,0
rc_201.1,1,reference,0,6,444.5425,0,10.2912,74.699,0,0,0,0
rc_201.1,1,reference,0,5,444.5425,0,15.4458,55.868,0,0,0,0
rc_201.1,1,reference,0,7,444.5425,0,10,88.868,0,0,0,0
rc_201.1,1,reference,0,9,444.5425,0,11.6148,47.868,0,0,0,0
rc_201.1,1,reference,0,8,444.5425,0,16.8328,113.868,0,0,0,0
rc_201.1,1,reference,0,17,444.5425,0,29.8976,99.0352,0,0,0,0
rc_201.1,1,reference,0,20,444.5425,0,13.8006,120,0,26.0089,0,0
rc_201.1,1,reference,0,12,444.5425,0,16.5762,83.456,0,0,0,0
rc_201.1,1,reference,0,18,444.5425,0,18.2971,6.02199999999999,0,0,0,0
rc_201.1,1,reference,0,2,444.5425,0,16.7443,45.5578,0,0,0,0
rc_201.1,1,reference,0,11,444.5425,0,10.1154,120,0,13.2777,0,0
rc_201.1,1,reference,0,4,444.5425,0,10.0559,41.3944,0,0,0,0
rc_201.1,1,reference,0,13,444.5425,0,37.7626,39.2523,0,0,0,0
rc_201.1,1,reference,0,3,444.5425,0,31.3644,120,0,33.6318,0,0
rc_201.1,1,reference,0,16,444.5425,0,10.004,116.9773,0,0,0,0
rc_201.1,2,first-feasible,1,15,532.0086,0,11.1644,119.8197,0,0,0,1
rc_201.1,2,first-feasible,1,19,532.0086,0,13.2472,120,0,74.6002,0,1
rc_201.1,2,first-feasible,1,14,532.0086,0,12.3252,13.9168,0,0,0,1
rc_201.1,2,first-feasible,1,10,532.0086,0,10.4254,24.3013,0,0,0,1
rc_201.1,2,first-feasible,1,6,530.4301,1.57850000000008,12.8072,74.699,0,0,0,1
rc_201.1,2,first-feasible,1,7,531.0265,0.982100000000059,10.9821,104.3138,0,0,0,1
rc_201.1,2,first-feasible,1,9,531.0265,0.982100000000059,14,63.3138,0,0,0,1
rc_201.1,2,first-feasible,1,5,526.8521,5.15650000000005,20.6023,27.3138,0,0,0,1
rc_201.1,2,first-feasible,1,8,532.0086,0,13.6546,108.7115,0,0,0,1
rc_201.1,2,first-feasible,1,17,532.0086,0,33.8117,93.8787,0,0,0,1
rc_201.1,2,first-feasible,1,18,532.0086,0,15.6702,53.6132,0,0,0,1
rc_201.1,2,first-feasible,1,2,532.0086,0,18.0108,93.149,0,0,0,1
rc_201.1,2,first-feasible,1,4,532.0086,0,10.4993,112.3787,0,0,0,1
rc_201.1,2,first-feasible,1,13,517.1334,14.8751999999999,33.8258,110.2366,0,0,0,1
rc_201.1,2,first-feasible,1,12,532.0086,0,10.9785,3.74149999999997,0,0,0,1
rc_201.1,2,first-feasible,1,20,532.0086,0,26.9862,3.19749999999999,0,0,0,1
rc_201.1,2,first-feasible,1,11,532.0086,0,32.6497,65.491,0,0,0,1
rc_201.1,2,first-feasible,1,16,487.9699,44.0386999999999,54.0427,120,0,36.471,1,1
rc_201.1,2,first-feasible,1,3,487.9699,44.0386999999999,54.0414,58.9773,0,0,0,1
rc_201.1,3,final-feasible,1,15,482.8134,0,11.1644,119.8197,0,0,1,0
rc_201.1,3,final-feasible,1,19,482.8134,0,13.2472,120,0,74.6002,0,0
rc_201.1,3,final-feasible,1,14,482.8134,0,12.3252,13.9168,0,0,0,0
rc_201.1,3,final-feasible,1,10,482.8134,0,10.4254,24.3013,0,0,0,0
rc_201.1,3,final-feasible,1,6,482.8134,0,10.2912,74.699,0,0,0,0
rc_201.1,3,final-feasible,1,5,482.8134,0,15.4458,55.868,0,0,0,0
rc_201.1,3,final-feasible,1,7,482.8134,0,10,88.868,0,0,0,0
rc_201.1,3,final-feasible,1,9,482.8134,0,11.6148,47.868,0,0,0,0
rc_201.1,3,final-feasible,1,8,482.8134,0,16.8328,113.868,0,0,0,0
rc_201.1,3,final-feasible,1,17,482.8134,0,33.8117,99.0352,0,0,0,0
